date,close
2022-01-04,3.62
2022-01-05,3.635
2022-01-06,3.614
2022-01-07,3.592
2022-01-10,3.599
2022-01-11,3.629
2022-01-12,3.646
2022-01-13,3.654
2022-01-14,3.65
2022-01-17,3.635
2022-01-18,3.629
2022-01-19,3.625
2022-01-20,3.674
2022-01-21,3.672
2022-01-24,3.662
2022-01-25,3.671
2022-01-26,3.674
2022-01-27,3.606
2022-01-28,3.594
2022-02-07,3.62
2022-02-08,3.641
2022-02-09,3.658
2022-02-10,3.665
2022-02-11,3.645
2022-02-14,3.705
2022-02-15,3.742
2022-02-16,3.692
2022-02-17,3.726
2022-02-18,3.76
2022-02-21,3.754
2022-02-22,3.801
2022-02-23,3.772
2022-02-24,3.853
2022-02-25,3.807
2022-02-28,3.787
2022-03-01,3.786
2022-03-02,3.837
2022-03-03,3.827
2022-03-04,3.841
2022-03-07,3.926
2022-03-08,4.015
2022-03-09,4.061
2022-03-10,3.931
2022-03-11,3.937
2022-03-14,3.917
2022-03-15,3.832
2022-03-16,3.796
2022-03-17,3.845
2022-03-18,3.851
2022-03-21,3.841
2022-03-22,3.866
2022-03-23,3.835
2022-03-24,3.88
2022-03-25,3.907
2022-03-28,3.872
2022-03-29,3.849
2022-03-30,3.839
2022-03-31,3.833
2022-04-01,3.853
2022-04-06,3.836
2022-04-07,3.843
2022-04-08,3.852
2022-04-11,3.886
2022-04-12,3.908
2022-04-13,3.926
2022-04-14,3.931
2022-04-15,3.944
2022-04-18,3.967
2022-04-19,3.936
2022-04-20,3.886
2022-04-21,3.937
2022-04-22,3.951
2022-04-25,3.924
2022-04-26,3.89
2022-04-27,3.892
2022-04-28,3.89
2022-04-29,3.942
2022-05-05,3.929
2022-05-06,3.922
2022-05-09,3.939
2022-05-10,3.91
2022-05-11,3.89
2022-05-12,3.928
2022-05-13,3.888
2022-05-16,3.851
2022-05-17,3.877
2022-05-18,3.836
2022-05-19,3.85
2022-05-20,3.872
2022-05-23,3.875
2022-05-24,3.882
2022-05-25,3.887
2022-05-26,3.901
2022-05-27,3.917
2022-05-30,3.885
2022-05-31,3.877
2022-06-01,3.852
2022-06-02,3.877
2022-06-06,3.869
2022-06-07,3.854
2022-06-08,3.872
2022-06-09,3.881
2022-06-10,3.865
2022-06-13,3.926
2022-06-14,3.855
2022-06-15,3.834
2022-06-16,3.846
2022-06-17,3.874
2022-06-20,3.858
2022-06-21,3.852
2022-06-22,3.849
2022-06-23,3.854
2022-06-24,3.827
2022-06-27,3.853
2022-06-28,3.832
2022-06-29,3.821
2022-06-30,3.818
2022-07-01,3.784
2022-07-04,3.801
2022-07-05,3.797
2022-07-06,3.725
2022-07-07,3.676
2022-07-08,3.669
2022-07-11,3.669
2022-07-12,3.668
2022-07-13,3.646
2022-07-14,3.647
2022-07-15,3.622
2022-07-18,3.635
2022-07-19,3.627
2022-07-20,3.628
2022-07-21,3.599
2022-07-22,3.65
2022-07-25,3.663
2022-07-26,3.668
2022-07-27,3.659
2022-07-28,3.697
2022-07-29,3.749
2022-08-01,3.743
2022-08-02,3.773
2022-08-03,3.759
2022-08-04,3.76
2022-08-05,3.79
2022-08-08,3.769
2022-08-09,3.786
2022-08-10,3.794
2022-08-11,3.777
2022-08-12,3.795
2022-08-15,3.799
2022-08-16,3.796
2022-08-17,3.779
2022-08-18,3.761
2022-08-19,3.761
2022-08-22,3.753
2022-08-23,3.763
2022-08-24,3.787
2022-08-25,3.797
2022-08-26,3.798
2022-08-29,3.767
2022-08-30,3.783
2022-08-31,3.758
2022-09-01,3.73
2022-09-02,3.726
2022-09-05,3.765
2022-09-06,3.784
2022-09-07,3.759
2022-09-08,3.79
2022-09-09,3.785
2022-09-13,3.787
2022-09-14,3.76
2022-09-15,3.744
2022-09-16,3.728
2022-09-19,3.741
2022-09-20,3.754
2022-09-21,3.759
2022-09-22,3.753
2022-09-23,3.77
2022-09-26,3.736
2022-09-27,3.746
2022-09-28,3.751
2022-09-29,3.78
2022-09-30,3.783
2022-10-10,3.81
2022-10-11,3.802
2022-10-12,3.812
2022-10-13,3.817
2022-10-14,3.813
2022-10-17,3.792
2022-10-18,3.802
2022-10-19,3.793
2022-10-20,3.775
2022-10-21,3.771
2022-10-24,3.82
2022-10-25,3.827
2022-10-26,3.824
2022-10-27,3.817
2022-10-28,3.82
2022-10-31,3.807
2022-11-01,3.81
2022-11-02,3.817
2022-11-03,3.805
2022-11-04,3.804
2022-11-07,3.832
2022-11-08,3.839
2022-11-09,3.945
2022-11-10,3.925
2022-11-11,3.952
2022-11-14,3.913
2022-11-15,3.933
2022-11-16,3.954
2022-11-17,3.958
2022-11-18,3.952
2022-11-21,3.936
2022-11-22,3.932
2022-11-23,3.932
2022-11-24,3.947
2022-11-25,3.959
2022-11-28,3.962
2022-11-29,3.951
2022-11-30,3.944
2022-12-01,3.956
2022-12-02,3.979
2022-12-05,3.94
2022-12-06,3.898
2022-12-07,3.898
2022-12-08,3.91
2022-12-09,3.924
2022-12-12,3.921
2022-12-13,3.924
2022-12-14,3.963
2022-12-15,3.933
2022-12-16,3.915
2022-12-19,3.942
2022-12-20,3.943
2022-12-21,3.981
2022-12-22,3.981
2022-12-23,3.948
2022-12-26,3.953
2022-12-27,3.963
2022-12-28,3.966
2022-12-29,3.96
2022-12-30,3.986
